degree_type,founder_count
"BA, Bus./Economics & Asian Art S",1
"BA, Business Administration",4
"BA, Business; Marketing",1
"BA, Communication",1
"BA, Computer Science & Business",1
"BA, Dual Major",1
"BA, Economics",7
"BA, Economics & German",1
"BA, Economics and Biology, cum l",1
"BA, Economics and History",1
"BA, Economics and Politics",1
"BA, English",2
"BA, English, cum laude",1
"BA, Entrepreneurship",1
"BA, German, Economics",1
"BA, History, Economics",1
"BA, Honors",2
"BA, International Business & Man",1
"BA, International Economics",1
"BA, International Relations",1
"BA, International Relations / Ma",1
"BA, JD",1
"BA, JD, MBA",1
"BA, Joint Honours",1
"BA, LL.B",1
"BA, LLB",2
"BA, M.Sc, MD",1
"BA, MBA",4
"BA, Magna Cum Laude",1
"BA, Marketing & Business Law",1
"BA, Math-Econ",1
"BA, Phi Beta Kappa",1
"BA, Philosophy",2
"BA, Political Economy",1
"BA, Political Science",4
"BA, Psychology",1
"BA, Psychology & MArketing",1
"BA, Psychology, Managerial Studi",1
"BA, Psychology, Sociology",1
"BA, Russian",1
"BA, Sociology",1
"BA, Summa Cum Laude",2
"BA, Summa Cum Laude, Phi Beta Ka",1
"BA, With Honors",1
"BA, cum laude",2
"BA, summa cum laude",2
"BA, summa cum laude with honors",1
"BA, with highest honors",1
"BA, with honors",1
"BA,BAI",1
BA- Business Administration,1
BA-BBS Conjoint,1
BA-Business,1
BA-Journalism with Honors,1
BA/BA,2
BA/BA/BSC,1
BA/BBA,1
BA/BS,11
BA/BSc,4
BA/LLB,2
BA/MA,10
BA/MA with Honors,1
"BA/MA, EE & CS",1
BA/MS,1
BA/Minor,1
BA; JD,1
BAA,12
BABA,2
BAC,1
BAC +5,1
BAC+5,1
BACC,1
"BACC, Post Graduate",1
BACHELOR OF COMPUTER SCIENCE,1
BACS,3
BADM,1
BAFS,1
BAH,3
BAI,4
"BAI & BA,",1
BAI and BA,1
"BAI, BA Maths",1
"BAI, MA",1
BAJourn,1
BAPSC,1
BARCH,1
BARCHELOR,1
"BAS, magna cum laude",1
"BAS/BA, Biomedical Science, Biol",1
BASC,104
BASW,1
BASc,2
BASc (Eng.),1
BAcc,2
BAppSc,1
BArch,1
"BAs, MAs, PhDs, certifications, ",1
BB.Tech,1
BBA,1649
BBA & BA,1
BBA & MBA,1
BBA (CAM),1
BBA (Hons),2
"BBA (Hons),",1
BBA (Hons.),1
BBA (Magna cum laude),1
BBA (Summa cum laude),2
BBA - Bachelor of Business Admin,4
BBA - First Class Honours,1
BBA European Management,1
BBA Finance,1
"BBA Financial Consulting,",1
BBA Financial Resource Mgmt,1
BBA Honors,1
BBA Honours,1
BBA With Honors,1
BBA and  MBA,1
BBA and MBA,2
BBA and Valedictorian,1
BBA(Mktg),1
"BBA, Business Administration",1
"BBA, Double Major",1
"BBA, Finance, Accounting",1
"BBA, Finance, Economics",1
"BBA, JD",1
"BBA, MIS, QBA",1
"BBA, Marketing and Corporate Str",1
BBA/ MPA,1
BBA/MPA,1
BBB,1
BBBA,1
BBC Degree,1
BBLS,1
BBM,4
BBR,1
BBS,47
BBUS,1
BBus,2
BBus in Finance and Accounting,1
"BBus, Marketing, Advertising",1
BBusSci,2
BC,4
BCA,20
BCA/BA,1
BCE,2
BCHE,1
BCIS,1
BCL,1
BCL & LLB,1
BCL 1st Class Honours,1
BCM,2
BCMPH,1
BCMS,1
BCMT,1
BCOM,433
BCOM (Honors),1
BCOM (PPE),1
BCOM(HONS),1
"BCOMM, Marketing and finance",1
BCP,1
BCS,47
BCS (Hons),1
BCS-H,1
BCSH,1
BCc,1
BChir,1
BCom,1
BCom (Honours),1
BCom (Hons),1
BCom (Hons) (Inf. Sys),1
BCom / DipCom,1
BCom Honours,1
