id,entity_type,name,normalized_name,category_code,status,founded_at,closed_at,investment_rounds,invested_companies,funding_rounds,funding_total_usd,milestones,relationships
c:58835,Company,Optimus3,optimus3,ecommerce,closed,2010-01-01,2012-03-01,0,0,4,1475000.0,0,0
c:5885,Company,Jowba,jowba,web,closed,2007-11-01,2008-07-01,0,0,0,0.0,2,0
c:58893,Company,Club Santa Monica,club santa monica,ecommerce,closed,2010-06-01,2013-05-01,0,0,1,692850.0,1,0
c:5894,Company,1bib,1bib,web,closed,2006-01-01,2011-04-04,0,0,1,0.0,0,0
c:58947,Company,Apprats,apprats,news,closed,2009-01-01,2012-11-01,0,0,1,0.0,3,2
c:58998,Company,MessageGate,messagegate,software,closed,2001-01-01,2012-07-16,0,0,1,5000000.0,1,3
c:59009,Company,CatchTheEye,catchtheeye,advertising,closed,2008-02-07,2011-04-03,0,0,2,2600000.0,1,9
c:59018,Company,Sychron Advanced Technologies,sychron advanced technologies,software,closed,1998-01-01,2012-01-01,0,0,1,5000000.0,0,0
c:59052,Company,EggCartel,eggcartel,ecommerce,closed,2010-07-01,2013-05-01,0,0,2,1000000.0,1,2
c:59054,Company,Nettle,nettle,web,closed,2010-10-04,2012-01-01,0,0,1,500000.0,3,3
c:59174,Company,RollCall (roll.to),rollcall roll to,mobile,acquired,2010-01-01,2012-06-03,0,0,1,0.0,1,2
c:59210,Company,Shoppingperte,shoppingperte,ecommerce,closed,2010-09-01,2010-01-01,0,0,0,0.0,1,1
c:59276,Company,frooly,frooly,ecommerce,closed,2009-06-06,2012-02-06,0,0,1,1308754.0,1,1
c:59286,Company,Lost Property Heaven,lost property heaven,web,closed,2010-01-01,2011-05-01,0,0,1,405529.0,2,4
c:59298,Company,Diversion,diversion,games_video,closed,2010-05-01,2012-06-01,0,0,2,300000.0,2,5
c:59353,Company,Cortex Healthcare,cortex healthcare,enterprise,closed,2009-01-01,2000-08-30,0,0,1,60000.0,1,7
c:59514,Company,Alsayegh Media,alsayegh media,other,closed,2010-01-01,2013-07-01,0,0,0,0.0,0,0
c:5952,Company,Aptera,aptera,automotive,closed,2003-01-01,2011-12-01,0,0,3,36300000.0,2,3
c:59555,Company,Intoan Technology,intoan technology,software,closed,2000-01-01,2010-10-20,0,0,1,1220000.0,0,0
c:59587,Company,EverConnect,everconnect,social,closed,2010-09-21,2012-12-01,0,0,1,200000.0,1,2
c:59604,Company,BetterWorks (Closed),betterworks closed,enterprise,closed,2010-10-31,2012-05-25,1,1,2,10500000.0,2,8
c:59655,Company,Covelus,covelus,network_hosting,closed,2003-01-01,2008-05-09,0,0,1,789000.0,0,0
c:59675,Company,VIDA Software,vida software,mobile,closed,2001-01-01,2009-02-17,0,0,1,592000.0,0,0
c:59709,Company,CafeBots,cafebots,web,closed,2010-01-01,2010-10-01,0,0,1,5000000.0,2,5
c:59857,Company,Keldeal,keldeal,web,closed,2010-10-06,2013-01-01,0,0,1,277120.0,1,2
